key	category	name	offer-2023-12-08	default-2023-12-08	offer-2023-12-09	default-2023-12-09	offer-2023-12-10	default-2023-12-10	offer-2023-12-11	default-2023-12-11	offer-2023-12-12	default-2023-12-12	offer-2023-12-13	default-2023-12-13	offer-2023-12-14	default-2023-12-14	offer-2023-12-15	default-2023-12-15	offer-2023-12-16	default-2023-12-16	offer-2023-12-17	default-2023-12-17	offer-2023-12-18	default-2023-12-18	offer-2023-12-20	default-2023-12-20
BTY-X45236700320021	non-food/reinigung/handschuhe-schwämme-tücher	HYGOSTAR Latexhandschuhe puderfrei Weiß S - 100 Stück	8.33	8.33	8.33	8.33	8.33	8.33	8.33	8.33	8.33	8.33	8.33	8.33			2.98	2.98	2.98	2.98	2.98	2.98			2.98	2.98
BTY-X45236700330021	non-food/reinigung/handschuhe-schwämme-tücher	HYGOSTAR Latexhandschuhe puderfrei Weiß M - 100 Stück	8.33	8.33	8.33	8.33	8.33	8.33	8.33	8.33	8.33	8.33	8.33	8.33			2.98	2.98	2.98	2.98	2.98	2.98			2.98	2.98
BTY-X45236700320021	non-food/reinigung/handschuhe-schwämme-tücher	HYGOSTAR Latexhandschuhe puderfrei Weiß S - 100 Stück	8.33	8.33	8.33	8.33	8.33	8.33	8.33	8.33	8.33	8.33	8.33	8.33			2.98	2.98	2.98	2.98	2.98	2.98			2.98	2.98
BTY-X45236700330021	non-food/reinigung/handschuhe-schwämme-tücher	HYGOSTAR Latexhandschuhe puderfrei Weiß M - 100 Stück	8.33	8.33	8.33	8.33	8.33	8.33	8.33	8.33	8.33	8.33	8.33	8.33			2.98	2.98	2.98	2.98	2.98	2.98			2.98	2.98
BTY-X45236700340021	non-food/reinigung/handschuhe-schwämme-tücher	HYGOSTAR Latexhandschuhe puderfrei Weiß L - 100 Stück	8.33	8.33	8.33	8.33	8.33	8.33	8.33	8.33	8.33	8.33	8.33	8.33			2.98	2.98	2.98	2.98	2.98	2.98	2.98	2.98	2.98	2.98
BTY-X45236700340021	non-food/reinigung/handschuhe-schwämme-tücher	HYGOSTAR Latexhandschuhe puderfrei Weiß L - 100 Stück	8.33	8.33	8.33	8.33	8.33	8.33	8.33	8.33	8.33	8.33	8.33	8.33			2.98	2.98	2.98	2.98	2.98	2.98	2.98	2.98	2.98	2.98
BTY-X39360900320021	non-food/reinigung/putz-reinigungsmittel	Fairy Professional Geschirrspülmaschinenreiniger - 10 l Kanister	36.28	36.28	36.28	36.28	36.28	36.28	36.28	36.28	36.28	36.28	36.28	36.28	36.28	36.28	36.28	36.28	36.28	36.28	36.28	36.28	36.28	36.28	23.8	23.8
BTY-X31686300500021	non-food/gastro-haushalt/servietten-kerzen/weihnachten	Tarrington House Spitze Ochsenblut matt 28 cm - 1 Stück	7.72	7.72	7.72	7.72	7.72	7.72	7.72	7.72	7.72	7.72	4.17	4.17	4.17	4.17	4.17	4.17	4.17	4.17	4.17	4.17	4.17	4.17	4.17	4.17
BTY-X34393600320021	non-food/multimedia-entertainment/computer-monitore-software/laptops	Apple Pencil (2. Generation) MU8F2ZM/A	140.41	140.41	140.41	140.41	140.41	140.41	140.41	140.41	140.41	140.41	140.41	140.41	140.41	140.41	140.41	140.41			95.2	95.2	95.2	95.2	95.2	95.2
BTY-X37789000330022	non-food/freizeit-heimwerken-kfz/bastel-künstlerbedarf	Baier & Schneider Plakatkarton 48 x 68 cm Sonnengelb 10 Bögen - 10 Packungen	5.95	5.95	5.95	5.95	5.95	5.95	5.95	5.95	5.95	5.95	3.57	3.57	3.57	3.57	3.57	3.57			3.57	3.57	3.57	3.57	3.57	3.57
