key	category	name	offer-2023-12-08	default-2023-12-08	offer-2023-12-09	default-2023-12-09
BTY-X45330800320021	non-food/sonstiges	aro Kopierpapier DIN A4 2500 Blatt Multifunktion 80 g	23.79	23.79	23.79	23.79
BTY-X34646700320023	non-food/sonstiges	SIGMA DIN A4 Kopierpapier Universal Multifunctional 80 g/m² - 240 x 500 Blatt	1710.74	1710.74	1710.74	1710.74
BTY-X34646700320021	non-food/sonstiges	SIGMA DIN A4 Kopierpapier Universal Multifunctional 80 g/m² - 500 Blatt	5.94	5.94	5.94	5.94
BTY-X34646700320022	non-food/sonstiges	SIGMA DIN A4 Kopierpapier Universal Multifunctional 80 g/m² - 5 x 500 Blatt	23.79	23.79	23.79	23.79
BTY-X30695800320021	non-food/sonstiges	SIGMA DIN A4 Kopierpapier Bonus Pack 80 g/m² - 2 x 500 Blatt	11.29	10.7	11.29	10.7
BTY-X35454000320021	non-food/sonstiges	SIGMA DIN A4 Kopierpapier Premium Brilliant White 80 g/m² - 500 Blatt	9.98	9.98	9.98	9.98
BTY-X19225300320021	non-food/sonstiges	Sigel FA513 Fahrtenbuch A5	8.08	8.08	8.08	8.08
BTY-X19226400320021	non-food/sonstiges	Sigel DIN A4 Mietvertrag MV 464	1.49	1.49	1.49	1.49
BTY-X19227300320021	non-food/sonstiges	Sigel DIN A5 Rapporte/Regieberichte RP 510	6.18	6.18	6.18	6.18
BTY-X19228500320021	non-food/sonstiges	Sigel DIN A5 Rapporte SD 025	8.68	8.68	8.68	8.68
BTY-X19231600320021	non-food/sonstiges	Sigel DIN A6 quer Stundenerfassung ST 615	4.15	4.15	4.15	4.15
BTY-X19231900320021	non-food/sonstiges	Sigel DIN A6 quer Aktionsartikel mit 2 Fahrtenbüchern und 1 Parkscheibe gratis T1 096	10.22	10.22	10.22	10.22
BTY-X7868100360021	non-food/sonstiges	Papago DIN A4 Kopierpapier Himmelblau 80 g/m² - 500 Blatt	11.89	11.89	11.89	11.89
BTY-X7868100340021	non-food/sonstiges	Papago DIN A4 Kopierpapier Gelb 80 g/m² - 500 Blatt	11.89	11.89	11.89	11.89
BTY-X7868100350021	non-food/sonstiges	Papago DIN A4 Kopierpapier Hellgrün 80 g/m² - 500 Blatt	11.89	11.89	11.89	11.89
BTY-X7868100320021	non-food/sonstiges	Papago DIN A4 Kopierpapier Elfenbein 80 g/m² - 500 Blatt	11.89	11.89	11.89	11.89
BTY-X7868100330021	non-food/sonstiges	Papago DIN A4 Kopierpapier Chamois 80 g/m² - 500 Blatt	11.89	11.89	11.89	11.89
BTY-X7869300350021	non-food/sonstiges	Papago DIN A4 Kopierpapier Rotorange 80 g/m² - 500 Blatt	12.25	12.25	12.25	12.25
BTY-X7869300320021	non-food/sonstiges	Papago DIN A4 Kopierpapier Kanariengelb 80 g/m² - 500 Blatt	12.25	12.25	12.25	12.25
BTY-X7869300330021	non-food/sonstiges	Papago DIN A4 Kopierpapier Frühlingsgrün 80 g/m² - 500 Blatt	12.25	12.25	12.25	12.25
BTY-X15439300320021	non-food/sonstiges	Clairefontaine DIN A4 Kopierpapier Intensiv 80 g/m² - 100 Blatt	7.96	7.96	7.96	7.96
BTY-X3770500320021	non-food/reinigung/folien-beutel	aro Müllsäcke mit Zugband Black/Blue 120 l 2 Rollen à 25 Beutel	9.98	9.98	9.98	9.98
BTY-X3788600320021	non-food/reinigung/folien-beutel	aro Müllsacke Schwarz 130 l - 2 x 25 Stück	14.27	14.27	14.27	14.27
BTY-X17404700320021	non-food/reinigung/folien-beutel	aro Alufolie Silber Aluminium 11 My, 30 m x 29 cm - 4 Rollen	8.6	8.6	8.6	8.6
BTY-X17404700320022	non-food/reinigung/folien-beutel	aro Alufolie Silber Aluminium 11 My - 6 x 30 m	51.62	51.62	51.62	51.62
BTY-X3772300320021	non-food/reinigung/folien-beutel	aro Müllsäcke mit Zugband 70 x 100 cm Gelb 120 l Polyethylen (PE), High Density Polyethylen (HDPE) 40 My - 2 x 25 Stück	9.98	9.98	9.98	9.98
BTY-X50493400320021	non-food/reinigung/folien-beutel	aro Müllbeutel Schwarz 60 l - 5 x 20 Stück	7.13	7.13	7.13	7.13
BTY-X50493400320022	non-food/reinigung/folien-beutel	aro Müllbeutel Schwarz 60 l 5 Rollen à 20 Beutel- 4 Stück Karton	28.51	28.51	28.51	28.51
BTY-X14982300320023	non-food/reinigung/folien-beutel	aro Backpapier 20 m - 24 Stück	37.7	37.7	37.7	37.7
BTY-X14982300320021	non-food/reinigung/folien-beutel	aro Backpapier Braun - 20 m	1.57	1.57	1.57	1.57
BTY-X3788800320021	non-food/reinigung/folien-beutel	aro Müllsäcke Schwarz 240 l, 2 Rollen à 10 Beutel, 70 my	10.7	10.7	10.7	10.7
BTY-X50501300320027	non-food/reinigung/folien-beutel	aro Müllsäcke 70 x 110 cm Blau 120 l Polyethylen (PE), Low Density Polyethylen (LDPE) 40 My - 84 x 2 x 25 Stück	657.74	657.74	838.66	838.66
BTY-X50501300320021	non-food/reinigung/folien-beutel	aro Müllsäcke 70 x 110 cm Blau 120 l Polyethylen (PE), Low Density Polyethylen (LDPE) 40 My - 2 x 25 Stück	7.83	7.83	9.98	9.98
BTY-X50501300320022	non-food/reinigung/folien-beutel	aro Müllsäcke 70 x 110 cm Blau 120 l Polyethylen (PE), Low Density Polyethylen (LDPE) 40 My - 3 x 2 x 25 Stück	23.49	23.49	29.95	29.95
BTY-X17412700320021	non-food/reinigung/folien-beutel	aro Aluminiumfolie Silber 45 cm x 150 m, 11 My - Rolle	30.93	30.93	30.93	30.93
BTY-X17412700320022	non-food/reinigung/folien-beutel	aro Aluminiumfolie Silber 45 cm x 150 m, 11 My - 4 Rollen	123.71	123.71	123.71	123.71
BTY-X35776300320021	non-food/reinigung/folien-beutel	aro Müllbeutel mit Griff 25 l - 6 x 30 Stück	5.11	5.11	5.11	5.11
BTY-X35776300320022	non-food/reinigung/folien-beutel	aro Müllbeutel mit Griff 25 l 30 Beutel - 6 Stück Tray	24.63	24.63	24.63	24.63
BTY-X18848100320023	non-food/reinigung/folien-beutel	aro Alufolie 11my, 300 m x 29 cm - 4 Stück	166.55	166.55	166.55	166.55
BTY-X18848100320021	non-food/reinigung/folien-beutel	aro Aluminiumfolie Silber 11 My, 300 m x 29 cm	41.64	41.64	41.64	41.64
BTY-X50499800320023	non-food/reinigung/folien-beutel	aro Müllbeutel mit Zugband 65 x 65 cm Schwarz 60 l 25 My, 5 Rollen à 20 Beutel- 4 Packungen	41.84	41.84	41.84	41.84
BTY-X50499800320021	non-food/reinigung/folien-beutel	aro Müllbeutel mit Zugband 65 x 65 cm Schwarz 60 l 25 My, 5 Rollen à 20 Beutel	10.46	10.46	10.46	10.46
BTY-X29135200320023	non-food/reinigung/folien-beutel	PAPSTAR Müllsäcke 60 l mit Zugband 22 my Grau 20 Stück - 120 Packungen	535.5	535.5	535.5	535.5
BTY-X29135200320021	non-food/reinigung/folien-beutel	PAPSTAR Müllsäcke 60 l mit Zugband 22 my Grau 20 Stück	4.63	4.63	4.63	4.63
BTY-X29135200320022	non-food/reinigung/folien-beutel	PAPSTAR Müllsäcke 60 l mit Zugband 22 my Grau 20 Stück - 12 Packungen	53.55	53.55	53.55	53.55
BTY-X60157100320021	non-food/reinigung/folien-beutel	Swirl Müllbeutel 68 x 73 cm Dunkelgrau 60 l Kunststoff	15.66	15.66	15.66	15.66
BTY-X45783800320021	non-food/reinigung/folien-beutel	Swirl Müllbeutel mit Zugband 20 l, 48 x 51,5 cm 3 Rollen à 20 Stück	8.18	8.18	8.18	8.18
BTY-X12712000320021	non-food/reinigung/folien-beutel	Swirl Müllbeutel mit Tragegriff 5 l, Weiß, 4 Rollen à 40 Stück	11.38	11.38	11.38	11.38
BTY-X17885000320021	non-food/reinigung/folien-beutel	Toppits Zipper XL Vorratspack 3 l	5.22	5.22	5.22	5.22
BTY-X79659500320021	non-food/reinigung/folien-beutel	Swirl Bio-Müll-Folienbeutel mit Tragegriff 10 l 10 Stück Packung	3.56	3.56	3.56	3.56
BTY-X45779500320021	non-food/reinigung/folien-beutel	Swirl Müllbeutel 65 x 63,5 cm 35 l Kunststoff	8.18	8.18	8.18	8.18
BTY-X36076500320021	non-food/reinigung/folien-beutel	Swirl Bio-Müll-Folienbeutel mit Tragegriff 20 l 6 Stück Packung	3.56	3.56	3.56	3.56
BTY-X11509400320021	non-food/reinigung/folien-beutel	Pely Gefrierbeutel 29 x 44 cm 6 l	2.96	2.96	2.96	2.96
BTY-X11509400320022	non-food/reinigung/folien-beutel	Pely Gefrierbeutel 29 x 44 cm 6 l - 3 x	8.89	8.89	8.89	8.89
BTY-X11511400320021	non-food/reinigung/folien-beutel	Pely Gefrierbeutel 1 l - 100 Stück Packung	2.96	2.96	2.96	2.96
BTY-X11511400320022	non-food/reinigung/folien-beutel	Pely Gefrierbeutel 1 l - 3 x 100 Stück Karton	8.89	8.89	8.89	8.89
BTY-X30882000320021	non-food/reinigung/folien-beutel	aro Gefrierbeutel 3 l	4.36	4.36	4.36	4.36
BTY-X30882000320022	non-food/reinigung/folien-beutel	aro Gefrierbeutel 3 l - 8 x	34.84	34.84	34.84	34.84
BTY-X60164100320021	non-food/reinigung/folien-beutel	Swirl Müllbeutel mit Griff 65 x 70 cm 35 l Kunststoff	11.19	11.19	11.19	11.19
BTY-X2353800320021	non-food/reinigung/folien-beutel	PAPSTAR Müllsäcke HDPE Blau 120 l 110 cm 70 cm 24 my 50 Stück	17.01	17.01	17.01	17.01
BTY-X19516500320021	non-food/reinigung/folien-beutel	Pely Profi-Müllsäcke 63 x 82 cm Blau 60 l Folie	4.15	4.15	4.15	4.15
BTY-X19516900320021	non-food/reinigung/folien-beutel	Pely Profi Super Müllsäcke 120 x 145 cm Schwarz 240 l Folie	7.84	7.84	7.84	7.84
